,ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer
51,Amedeo_Avogadro,Who first calculated the value of Avogadro's number?,Johann Josef Loschmidt first calculated the value of Avogadro's number.,medium,medium
52,Amedeo_Avogadro,What does Avogadro's Law state?,The relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights,medium,hard
53,Amedeo_Avogadro,What does Avogadro's Law state?,Avogadro's Law states that the relationship between the masses of the same volume of different gases (at the same temperature and pressure) corresponds to the relationship between their respective molecular weights.,medium,too hard
54,Amedeo_Avogadro,Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van Hoff,medium,medium
55,Amedeo_Avogadro,Who showed that Avogadro's theory held in dilute solutions?,Jacobus Henricus van 't Hoff showed that Avogadro's theory holds in dilute solutions.,medium,medium
56,Amedeo_Avogadro,In what language was his 1811 paper published?,French,hard,hard
57,Amedeo_Avogadro,In what language was his 1811 paper published?,Avogadro's 1811 paper was published in French.,hard,hard
58,Amedeo_Avogadro,Who was Avogadro's wife?,Felicita Mazz,hard,hard
59,Amedeo_Avogadro,Who was Avogadro's wife?,Felicita Mazz� was Avogadro's wife.,hard,hard
60,Amedeo_Avogadro,Why did Avogadro lose his chair at the University of Turin?,He was active in the revolutionary movements of 1821 against the king of Sardinia,hard,hard
63,Amedeo_Avogadro,Was Amedeo Avogadro was born in Turin?,yes,easy,easy
64,Amedeo_Avogadro,Is Avogadro hailed as a founder of the atomic-molecular theory?,Yes,easy,easy
65,Amedeo_Avogadro,Is Avogadro hailed as a founder of the atomic-molecular theory?,yes,easy,easy
66,Amedeo_Avogadro,Did Johann Josef Loschmidt first calculate the value of Avogadro's number?,Yes,easy,easy
67,Amedeo_Avogadro,Did Johann Josef Loschmidt first calculate the value of Avogadro's number?,yes,easy,easy
68,Amedeo_Avogadro,"In 1820, Avogadro became a professor of physics where?",University of Turin,medium,medium
69,Amedeo_Avogadro,"In 1820, Avogadro became a professor of physics where?",University of Turin,medium,hard
70,Amedeo_Avogadro,Avogadro did not actually use what word?,atom,medium,medium
71,Amedeo_Avogadro,Avogadro did not actually use what word?,atom,medium,medium
72,Amedeo_Avogadro,The number of elementary entities in 1 mole of a substance is known as what?,Avogadro constant,medium,medium
73,Amedeo_Avogadro,The number of elementary entities in 1 mole of a substance is known as what?,Avogadro's constant,medium,medium
74,Amedeo_Avogadro,What would a German call Avogadro's number?,Loschmidt number,hard,medium
75,Amedeo_Avogadro,What would a German call Avogadro's number?,Loschmidt number,hard,hard
76,Amedeo_Avogadro,Is Amedeo Avogadro Italian?,Yes,hard,easy
77,Amedeo_Avogadro,Is Amedeo Avogadro Italian?,yes,hard,hard
78,Amedeo_Avogadro,Did he become a professor before the revolutionary movements against the king of Sardinia?,Yes,hard,hard
79,Amedeo_Avogadro,Did he become a professor before the revolutionary movements against the king of Sardinia?,yes,hard,hard
80,Ant,Do ants belong to the Hymenoptera order?,yes,easy,easy
81,Ant,Do ants belong to the Hymenoptera order?,yes,easy,easy
82,Ant,Are ants used in cuisine?,yes,easy,easy
83,Ant,Are ants used in cuisine?,yes,easy,medium
84,Ant,Does an ant's head contain sensory organs?,yes,easy,easy
85,Ant,Does an ant's head contain sensory organs?,yes,easy,easy
86,Ant,How do most ants travel?,most ants travel by walking,medium,medium
87,Ant,How do most ants travel?,by walking,medium,easy
88,Ant,"In ant colonies, what are the fertile female ants called?",queens,medium,medium
89,Ant,"In ant colonies, what are the fertile female ants called?",queens,medium,medium
90,Ant,Who wrote about ants in A Tramp Abroad?,mark twain wrote about ants,medium,medium
91,Ant,Who wrote about ants in A Tramp Abroad?,Mark Twain,medium,easy
92,Ant,"Do the ants eat plants, meats, or both?",both,hard,too hard
93,Ant,What organs gives a bull ant its good sight?,compound eyes,hard,too hard
95,Ant,What may happen to red fire ants if we use boiling water on the queen?,die,hard,too hard
96,Ant,Are ants found in Antartica?,"No, there are no ants in antarctica.",easy,easy
98,Ant,Do male ants take flight before females?,"Yes, male ants take flight before females.",easy,easy
99,Ant,Do male ants take flight before females?,,easy,
100,Ant,Do worker ants have wings?,"No, worker ants do not have wings.",easy,easy
101,Ant,Do worker ants have wings?,,easy,
102,Ant,What are the three segments of an ant?,"The head, mesosoma and metasoma are the three distinct body segments.",medium,hard
103,Ant,What are the three segments of an ant?,,medium,
104,Ant,What are the ant colonies that lack queens called?,Colonies that lack queens are called gamergate colonies.,medium,medium
105,Ant,What are the ant colonies that lack queens called?,,medium,
106,Ant,Where are bullet ants located?,Bullet ants are located in Central and South America.,medium,medium
107,Ant,Where are bullet ants located?,,medium,
108,Ant,Do ants belong to the same order as bees?,"Yes, ants belong to the same order as bees.",hard,medium
109,Ant,Do ants belong to the same order as bees?,,hard,
111,Ant,What is the most common color of ants?,,hard,
112,Ant,Do all ants build nests?,"No, not all ants build nests.",hard,medium
113,Ant,Do all ants build nests?,,hard,
114,Ant,Ultraviolet vision was first discovered in ants by Sir who in 1881?,John Lubbok,,medium
115,Ant,Do ants thrive in most ecosystems?,Yes.,,easy
116,Ant,Are several species of ants able to use the Earths magnetic field?,yes,,easy
118,Ant,Do some caterpillars produce vibrations as well as sounds?,yes,,easy
119,Ant,Did ants evolve from wasp-like ancestors in the mid-Cretaceous period between 110 and 130 million years ago and diversified after the rise of flowering plants?,yes,,easy
120,Ant,Is the ant a marsupial?,no,,medium
121,Ant,Are they easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist?,"Yes, they are easily identified by their elbowed antennae and a distinctive node-like structure that forms a slender waist.",,easy
122,Antwerp,Is Antwerp a city?,Yes,easy,easy
123,Antwerp,Is Antwerp a city?,,easy,
124,Antwerp,Is Antwerp a municipality?,Yes,easy,easy
125,Antwerp,Is Antwerp a municipality?,,easy,
126,Antwerp,Is Antwerp in Belgium?,Yes,easy,easy
127,Antwerp,Is Antwerp in Belgium?,,easy,
128,Antwerp,What is Antwerp?,Antwerp is a city and municipality in Belgium.,medium,easy
129,Antwerp,What is Antwerp?,,medium,
130,Antwerp,What is the population of the city of Antwerp?,"Antwerp's population is 472,071.",medium,medium
131,Antwerp,What is the population of the city of Antwerp?,,medium,
132,Antwerp,Where is the city of Antwerp?,Antwerp is in Belgium,medium,medium
133,Antwerp,Where is the city of Antwerp?,,medium,
134,Antwerp,Why is Antwerp important to fashion?,Yes,hard,medium
135,Antwerp,Why is Antwerp important to fashion?,,hard,
137,Antwerp,Antwerp is to the east of what river?,,hard,
138,Antwerp,How many municipalities does Antwerp have?,"None, Antwerp is a municipality.",hard,medium
139,Antwerp,How many municipalities does Antwerp have?,,hard,
140,Arabic_language,Is Arabic a Central Semitic language?,Yes,easy,easy
141,Arabic_language,Is Arabic a Central Semitic language?,,easy,
142,Arabic_language,Was Arabic a major vehicle of culture in Europe?,Yes,easy,easy
143,Arabic_language,Was Arabic a major vehicle of culture in Europe?,,easy,
144,Arabic_language,Is Arabic classified alongside Semitic languages?,Yes,easy,easy
145,Arabic_language,Is Arabic classified alongside Semitic languages?,,easy,
146,Arabic_language,How many people speak the Arabic language?,280 million people.,medium,easy
147,Arabic_language,How many people speak the Arabic language?,,medium,
148,Arabic_language,When was Arabic calligraphy invented?,Many styles were developed after 786.,medium,hard
149,Arabic_language,When was Arabic calligraphy invented?,,medium,
150,Arabic_language,Where is Arabic spoken?,The Middle East and North Africa,medium,medium
151,Arabic_language,Where is Arabic spoken?,,medium,
152,Arabic_language,Why is Arabic related to Islam?,Arabic is the liturgical language of Islam,hard,hard
153,Arabic_language,Why is Arabic related to Islam?,,hard,
154,Arabic_language,Why does Arabic heavily influence European languages?,"Arabic was a major vehicle of culture in Europe, and the Arab and European civilizations are geographically close.",hard,hard
155,Arabic_language,Why does Arabic heavily influence European languages?,,hard,
156,Arabic_language,"How do you say ""black"" in Arabic?",,hard,
157,Arabic_language,Is Arabic the largest member of the Semitic language family?,yes,easy,easy
158,Arabic_language,Is Arabic the largest member of the Semitic language family?,yes,easy,easy
161,Arabic_language,Is Hassaniya Arabic spoken in Mauritania?,yes,easy,easy
162,Arabic_language,Is Hassaniya Arabic spoken in Mauritania?,Yes,easy,easy
163,Arabic_language,What is the only variety of modern Arabic that has acquired official language status?,maltese,medium,medium
164,Arabic_language,What is the only variety of modern Arabic that has acquired official language status?,Maltese,medium,medium
165,Arabic_language,Egyptian Arabic is spoken by how many in Egypt?,76 million,medium,medium
166,Arabic_language,Egyptian Arabic is spoken by how many in Egypt?,76 million,medium,medium
167,Arabic_language,Where are the Western Arabic numerals used?,North Africa,medium,medium
168,Arabic_language,Where are the Western Arabic numerals used?,present-day North Africa,medium,medium
169,Arabic_language,The most active Academies of Arabic Language are found where?,damascus and cairo,hard,medium
170,Arabic_language,Hassan Massoudy is a master of what genre?,Hassan Massoudy,hard,medium
171,Arabic_language,Hassan Massoudy is a master of what genre?,Arabic calligraphy,hard,hard
172,Berlin,Is Berlin the capital city of Germany?,Berlin is the capital city of Germany.,easy,easy
173,Berlin,Is Berlin the capital city of Germany?,yes,easy,easy
174,Berlin,Is Berlin the largest city in Germany?,Berlin is Germany's largest city.,easy,easy
175,Berlin,Is Berlin the largest city in Germany?,yes,easy,easy
176,Berlin,Is Schloss Charlottenburg the largest existing palace in Berlin?,Schloss Charlottenburg is the largest existing palace in Berlin. ,easy,easy
177,Berlin,Is Schloss Charlottenburg the largest existing palace in Berlin?,yes,easy,easy
178,Berlin,Which building is the site of the German parliament?,The Reichstag building is the site of the German parliament. ,medium,easy
180,Berlin,Which two sports events did the Olympiastadion host?,The Olympiastadion hosted the 1936 Summer Olympics and the 2006 FIFA World Cup final.,medium,medium
181,Berlin,Which two sports events did the Olympiastadion host?,the 1936 Summer Olympics and the 2006 FIFA World Cup final,medium,medium
182,Berlin,Where is the Berliner Dom located?,The Berliner Dom is located on the Spree Island across from the site of the Berliner Stadtschloss and adjacent to the Lustgarten.,medium,medium
183,Berlin,Where is the Berliner Dom located?,on the Spree Island,medium,medium
184,Berlin,Which Berlin building did architect Norman Foster remodel in the 1990s?,The Reichstag building was remodeled by architect Norman Foster in the 1990s.,hard,medium
185,Berlin,Which Berlin building did architect Norman Foster remodel in the 1990s?,Reichstag building,hard,hard
186,Berlin,"Why is Vattenfall shifting towards reliance on cleaner, renewable energy sources?","Because burning lignite produces harmful emissions, Vattenfall has announced a commitment to shift towards reliance on cleaner, renewable energy sources.",hard,hard
187,Berlin,"Why is Vattenfall shifting towards reliance on cleaner, renewable energy sources?",Because burning lignite produces harmful emissions,hard,medium
188,Berlin,What are the names of the two zoos in Berlin?,The two zoos in Berlin are the Zoologischer Garten Berlin and the Tierpark Friedrichsfelde.,hard,hard
190,Berlin,Is Berlin the headquarters of Springer?,"Yes, Berlin is the headquarters of Springer.",easy,medium
191,Berlin,Is Berlin the headquarters of Springer?,,easy,
193,Berlin,Does the Gendarmenmarkt border the French Cathedral?,,easy,
194,Berlin,Is the Nauen plain north of Berlin?,"No, the Nauen plain stretches to the west of Berlin.",easy,hard
195,Berlin,Is the Nauen plain north of Berlin?,,easy,
196,Berlin,Where is the bust of Queen Nefertiti?,The bust of Queen Nefertiti is in the Altes Museum.,medium,hard
197,Berlin,Where is the bust of Queen Nefertiti?,,medium,
198,Berlin,Where does the German President live?,"The German President lives west of the center, Schloss Bellevue.",medium,hard
199,Berlin,Where does the German President live?,,medium,
200,Berlin,When did Berlin give up its status as a free Hanseatic city?,In 1451 Berlin gave up its status as a free Hanseatic city.,medium,medium
201,Berlin,When did Berlin give up its status as a free Hanseatic city?,,medium,
202,Berlin,Which is the busiest airport in Berlin?,Tegel International Airport is the busiest airport in Berlin.,hard,hard
203,Berlin,Which is the busiest airport in Berlin?,,hard,
204,Berlin,How many occupation zones was Germany divided into after the war?,Germany was divided into four occupation zones after the war.,hard,hard
205,Berlin,How many occupation zones was Germany divided into after the war?,,hard,
206,Berlin,Where was Popkomm held before moving to Berlin?,Popkomm was held in Cologne before moving to Berlin.,hard,hard
207,Berlin,Where was Popkomm held before moving to Berlin?,,hard,
209,Blaise_Pascal,Who was Blaise Pascal's father?,Étienne Pascal.,easy,easy
210,Blaise_Pascal,Was Pascal a French mathematician?,yes,easy,easy
211,Blaise_Pascal,Was Pascal a French mathematician?,Yes.,easy,easy
212,Blaise_Pascal,Did Pascal have poor health throughout his life?,yes,easy,easy
213,Blaise_Pascal,Did Pascal have poor health throughout his life?,Yes.,easy,easy
214,Blaise_Pascal,How old was Pascal when he lost his mother?,at the age of three,medium,medium
215,Blaise_Pascal,How old was Pascal when he lost his mother?,3.,medium,easy
217,Blaise_Pascal,Who was Pascal's younger sister?,Jacqueline.,medium,medium
218,Blaise_Pascal,What led Pascal to his religious conversion?,Two basic influences led him to his conversion: sickness and Jansenism,medium,medium
219,Blaise_Pascal,What led Pascal to his religious conversion?,sickness and Jansenism,medium,medium
220,Blaise_Pascal,How old was Pascal when he died?,39,hard,too hard
221,Blaise_Pascal,How old was Pascal when he died?,1662-08-19.,hard,medium
222,Blaise_Pascal,Did Pascal write about cycloid before 1658?,no,hard,hard
223,Blaise_Pascal,Is there a programming language called Pascal?,yes,hard,hard
224,Blaise_Pascal,Is there a programming language called Pascal?,Yes.,hard,easy
225,Blaise_Pascal,Crowds of believers came to see and kiss the thorn; all of Catholic where acclaimed a miracle?,Paris,,medium
226,Blaise_Pascal,Wasn't Blaise Pascal a work of Desargues on conic sections?,"Yes, it was",,easy
227,Blaise_Pascal,Who died the next morning?,Pascal.,,hard
228,Blaise_Pascal,When did his father die?,1651,,hard
229,Blaise_Pascal,When did his father die?,His father died in 1651.,,medium
230,Blaise_Pascal,"Was he a child prodigy who was educated by his father, a civil servant?",yes,,medium
231,Blaise_Pascal,"Was Pascal's earliest work in the natural and applied sciences where he made important contributions to the construction of mechanical calculators, the study of fluids, and clarified the concepts of pressure and vacuum by generalizing the work of Evangelista Torricelli?",Yes,,easy
232,Blaise_Pascal,Did Pascal also write in defense of the scientific method?,Yes,,easy
233,Butterfly,Do butterflies make sounds?,Some butterflies make sounds.,easy,medium
234,Butterfly,Do butterflies make sounds?,,easy,
235,Butterfly,Do butterflies have two eyes?,"Yes, butterflies have two eyes.",easy,easy
236,Butterfly,Do butterflies have two eyes?,,easy,
237,Butterfly,Does a black moth mean that someone has died?,In the Philippines a black butterfly or moth mean that someone has died.,easy,hard
238,Butterfly,Does a black moth mean that someone has died?,,easy,
239,Butterfly,What is the outer layer of the cuticle made of?,The outer layer of the cuticle is made of of a mixture of chitin and specialized proteins.,medium,easy
241,Butterfly,Where was there a vast swarm of butterflies?,In Kyoto there was a vast swarm of butterflies.,medium,medium
242,Butterfly,Where was there a vast swarm of butterflies?,,medium,
243,Butterfly,What butterfly is migratory?,The Monarch butterfly is migratory.,medium,easy
244,Butterfly,What butterfly is migratory?,,medium,
245,Butterfly,Do butterflies carry more pollen than Hymenoptera?,"No, butterflies carry less pollen than Hymenoptera.",hard,hard
246,Butterfly,Do butterflies carry more pollen than Hymenoptera?,,hard,
247,Butterfly,What allows the butterfly to evade predators?,A butterfly's hind wings allow the butterfly to evade predators.,hard,medium
248,Butterfly,What allows the butterfly to evade predators?,,hard,
249,Butterfly,What happens if a wing is removed?,If a ring is removed the other three will grow to a larger size.,hard,easy
250,Butterfly,What happens if a wing is removed?,,hard,
251,Cello,,,easy,
252,Cello,,,easy,
253,Cello,,,easy,
254,Cello,,,medium,
255,Cello,,,medium,
256,Cello,,,medium,
257,Cello,,,hard,
258,Cello,,,hard,
259,Cello,,,hard,
260,Charles-Augustin_de_Coulomb,Was Charles-Augustin de Coulomb a Spanish Biologist?,No.,easy,easy
262,Charles-Augustin_de_Coulomb,Was the SI unit of charge named after Charles-Augustin de Coulomb?,Yes.,easy,easy
263,Charles-Augustin_de_Coulomb,Was the SI unit of charge named after Charles-Augustin de Coulomb?,"Yes, the SI unit of charge, the coulomb, was named after him.",easy,easy
264,Charles-Augustin_de_Coulomb,Was Charles-Augustin de Coulomb ever employed at La Rochelle?,Yes.,easy,easy
265,Charles-Augustin_de_Coulomb,Was Charles-Augustin de Coulomb ever employed at La Rochelle?,"Yes, upon his return to France, with the rank of Captain, he was employed at La Rochelle.",easy,easy
266,Charles-Augustin_de_Coulomb,What is Charles-Augustin de Coulomb best known for?,He is best known for developing Coulomb's law.,medium,medium
267,Charles-Augustin_de_Coulomb,What is Charles-Augustin de Coulomb best known for?,He is best known for developing Coulomb's law.,medium,medium
268,Charles-Augustin_de_Coulomb,Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?,Pieter van Musschenbroek.,medium,medium
269,Charles-Augustin_de_Coulomb,Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?,He carried out several experiments on the resistance of masonries which were inspired by the ideas of Pieter van Musschenbroek on friction.,medium,medium
270,Charles-Augustin_de_Coulomb,When did Charles-Augustin de Coulomb join his father's family in Montpeillier?,From 1757 to 1759 he joined his father's family in Montpellier.,medium,medium
271,Charles-Augustin_de_Coulomb,Did Charles-Augustin de Coulomb come from a poor family?,No.,hard,easy
272,Charles-Augustin_de_Coulomb,Did Charles-Augustin de Coulomb come from a poor family?,"No, his mother came from a wealthy family in the wool trade.",hard,hard
273,Charles-Augustin_de_Coulomb,What is Coulomb's law?,The definition of the electrostatic force of attraction and repulsion.,hard,medium
274,Charles-Augustin_de_Coulomb,What is Coulomb's law?,The definition of the electrostatic force of attraction and repulsion.,hard,medium
275,Charles-Augustin_de_Coulomb,Where is Coll�ge des Quatre-Nations located?,In Montpellier.,hard,hard
276,Charles-Augustin_de_Coulomb,Where is Coll�ge des Quatre-Nations located?,In Paris.,hard,hard
277,Charles-Augustin_de_Coulomb,What happened in 1785?,Coulomb presented his three reports on Electricity and Magnetism,,easy
278,Charles-Augustin_de_Coulomb,What happened in 1757 to 1759?,Charles-Augustin de Coulomb joined his father's family in Montpellier and took part in the work of the academy of the city.,,hard
279,Charles-Augustin_de_Coulomb,"Regarding this topic, what did the Revolution do?",The Revolution caused Coulomb to resign his appointment as intendent des eaux et fontains and retire.,,too hard
280,Charles-Augustin_de_Coulomb,Who determined to pursue mathematics?,Charles-Augustin de Coulomb,,medium
281,Charles-Augustin_de_Coulomb,When did Coulomb return to Paris?,In 1759.,,medium
282,Charles-Augustin_de_Coulomb,Does Coulomb leave a legacy as a pioneer in the field of geotechnical engineering for his contribution to retaining wall design?,yes,,easy
283,Charles-Augustin_de_Coulomb,Did the family move to Paris as well as there Coulomb studied at the prestigious Collge des Quatre-Nations?,Yes,,easy
284,Charles-Augustin_de_Coulomb,Was Coulomb born in Angoulme France to a well-to-do family?,"Coulomb was born in Angoulême, France, to a well-to-do family",,easy
286,Charles-Augustin_de_Coulomb,"The SI unit of charge, the coulomb, was named after him?",Yes,,easy
287,Charles-Augustin_de_Coulomb,"Did Coulomb die in Angoulême, France, to a well-to-do family?",No,,easy
288,Chinese_language,Are all spoken varieties of Chinese tonal and analytical?,yes,easy,easy
289,Chinese_language,Are all spoken varieties of Chinese tonal and analytical?,yes,easy,easy
291,Chinese_language,Is fifty percent or more of Korean vocabulary of Chinese origin?,yes,easy,easy
292,Chinese_language,"Does ""ketchup"" come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?",Yes,easy,easy
293,Chinese_language,"Does ""ketchup"" come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?",yes,easy,easy
294,Chinese_language,What is the most common romanization standard for Standard Mandarin today?,Hanyu Pinyin,medium,medium
295,Chinese_language,What is the most common romanization standard for Standard Mandarin today?,Hanyu Pinyin,medium,medium
296,Chinese_language,"What is the official standard language used by the People's Republic of China, the Republic of China, and Singapore (where it is called ""Huayu"")?","Putonghua / Guoyu, often called ""Mandarin""",medium,medium
297,Chinese_language,"What is the official standard language used by the People's Republic of China, the Republic of China, and Singapore (where it is called ""Huayu"")?",Standard Mandarin,medium,medium
298,Chinese_language,How many head entries for character definitions does the Zhonghua Zihai &#20013;&#21326;&#23383;&#28023; (1994) contain?,"85,568 head entries",medium,medium
300,Chinese_language,What does the PRC government classify as literacy amongst workers?,"knowledge of 2,000 characters",hard,medium
301,Chinese_language,What does the PRC government classify as literacy amongst workers?,a knowledge of 2000 characters,hard,medium
302,Chinese_language,How is South China linguistically different from North China?,South China displays more linguistic diversity,hard,hard
303,Chinese_language,&#20415;&#24403;/&#20415;&#30070; �lunchbox or boxed lunch� (from bento) and &#26009;&#29702; �prepared cuisine� are loan words from which language?,Japanese,hard,hard
304,Chinese_language,&#20415;&#24403;/&#20415;&#30070; �lunchbox or boxed lunch� (from bento) and &#26009;&#29702; �prepared cuisine� are loan words from which language?,Chinese,hard,hard
305,Chinese_language,What is the standardized form of spoken chinese?,The standardized form of spoken Chinese is Standard Mandarin.,easy,medium
306,Chinese_language,What is the standardized form of spoken chinese?,The standardized from of spoken Chinese is Standard Mandarin.,easy,easy
307,Chinese_language,Is diglossia a common feature in mainland China and Taiwan?,"Yes, diglossia is a common feature in mainland China and Taiwan.",easy,easy
308,Chinese_language,Is diglossia a common feature in mainland China and Taiwan?,"Yes, diglossia is a common feature in mainland China and Taiwan.",easy,easy
309,Chinese_language,Do linguists often view Chinese as a language family?,"Yes, linguists often view Chinese as a language family.",easy,easy
310,Chinese_language,Do linguists often view Chinese as a language family?,"Yes, linguists often view Chinese as a language family.",easy,easy
311,Chinese_language,When did classical Chinese literature begin?,Classical Chinese literature began in the Spring and Autumn period.,medium,medium
312,Chinese_language,When did classical Chinese literature begin?,Classical Chinese literature began in the 14th to 11th centuires BCE.,medium,medium
313,Chinese_language,How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?,The government of the People's Republic of China refers to all divisions of the Sinitic language(s) besides Standard Mandarin as fangyan.,medium,hard
314,Chinese_language,How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?,"The PRC commonly refers to all divisons of the Sinitic language(s) beside Standard Mandarin as fangyan, or ""regional tongues.""",medium,hard
315,Chinese_language,When was Middle Chinese used?,"Middle Chinese was used during Southern and Northern Dynasties and the Sua, Tang, and Sang dynasties.",medium,medium
316,Chinese_language,When was Middle Chinese used?,Middle Chinese was the language used in the 6th through 1-th centuries CE.,medium,medium
317,Chinese_language,How is the pronunciation of foreign words determined?,The pronunciation of foreign words is done by employing Chinese characters with similar pronuncations.,hard,hard
318,Chinese_language,How is the pronunciation of foreign words determined?,Foreign words are transliterated into close-match existing Chinese morphemes.,hard,too hard
319,Chinese_language,What is the total number of Chinese words?,"The Hanyu Da Zidian includes 54,678 head entries for characters.",hard,hard
320,Chinese_language,What language was used in the Zhou and Southern Dynasties?,Old Chinese was the language common during the early and middle Zhou Dynasty.,hard,medium
321,Cougar,Is a cougar also known as a mountain lion?,A cougar is also known as a mountain lion.,easy,easy
322,Cougar,Is a cougar also known as a mountain lion?,yes,easy,easy
323,Cougar,Are cougars larger than jaguars?,Cougars are not larger than jaguars.,easy,hard
324,Cougar,Are cougars larger than jaguars?,no,easy,hard
325,Cougar,"Does the World Conservation Union consider the cougar a ""least concern"" species?","The World Conservation Union (IUCN) currently lists the cougar as a ""least concern"" species.",easy,easy
326,Cougar,"Does the World Conservation Union consider the cougar a ""least concern"" species?",yes,easy,easy
327,Cougar,What are some of the cougar's primary food sources?,"The cougar's primary food sources include ungulates such as deer, elk, and bighorn sheep, as well as domestic cattle, horses and sheep, particularly in the northern part of its range.",medium,easy
329,Cougar,How long are cougar adult males (from nose to tail)?,The length of adult males is around 2.4 meters (8 ft) long nose to tail.,medium,medium
